Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1932,7,7,16,15,51.0,-113.000,29.000,30,10.0,89,0.0,0,6.7,89,0.0,0,6.9,91,0.0,0,0.0,0,6.9,164
1932,7,12,19,24,10.0,-110.050,26.083,30,10.0,89,0.0,0,6.7,89,0.0,0,6.8,91,0.0,0,0.0,0,6.8,164
1932,7,25,9,12,46.2,-103.930,18.870,7,Sh,7,0.0,0,6.9,7; 32; 105,0.0,0,6.8,43,0.0,0,0.0,0,6.8,164
1932,8,17,8,46,0.0,-91.500,15.500,0,40.0,0,0.0,0,5.6,132,0.0,0,0.0,0,0.0,0,0.0,0,5.7,165
1932,9,10,9,57,33.3,-116.756,31.517,0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.1,155,4.0,168
1932,10,9,22,50,42.6,-115.430,32.640,0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.5,155,4.4,168
1932,10,11,19,8,0.0,-110.000,24.000,0,0.0,0,0.0,0,5.6,132,0.0,0,0.0,0,0.0,0,0.0,0,5.7,165
1932,12,7,16,22,9.0,-104.000,19.000,7; 32,Sh,7,0.0,0,6.8,7,6.5,32,6.6,43,0.0,0,0.0,0,6.6,164
1932,12,19,6,28,0.0,-92.500,14.000,0,0.0,0,0.0,0,5.6,132,0.0,0,0.0,0,0.0,0,0.0,0,5.7,165
1933,1,24,15,39,0.0,-101.750,18.750,0,90.0,0,0.0,0,6.2,132,0.0,0,0.0,0,0.0,0,0.0,0,6.2,165
1933,1,27,16,27,55.4,-116.547,31.078,0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.1,155,4.0,168
1933,2,18,19,45,0.0,-86.000,16.500,0,60.0,0,0.0,0,5.6,132,0,0,0.0,0,0.0,0,0.0,0,5.7,165
1933,4,9,3,58,17.0,-105.000,19.500,7; 32,Sh,7,0.0,0,6.6,7; 32,0.0,0,6.4,163,0.0,0,0.0,0,6.4,164
1933,5,8,10,33,40.0,-101.000,17.500,7,Sh,7,0.0,0,6.9,7,0.0,0,6.7,43,0.0,0,0.0,0,6.7,164
1933,6,10,11,26,0.0,-86.250,17.250,0,0.0,0,0.0,0,5.6,132,0,0,0.0,0,0.0,0,0.0,0,5.7,165
1933,6,16,0,57,9.1,-112.135,25.993,0,15.0,0,0.0,0,0.0,0,0.0,0,5.7,159,0.0,0,0.0,0,5.7,164
1933,7,10,3,22,3.9,-103.947,18.367,0,15.0,0,0.0,0,0.0,0,0.0,0,6.4,159,0.0,0,0.0,0,6.4,164
1933,9,27,17,47,2.9,-117.021,31.226,0,6.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,4.1,155,4.0,168
