Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2010,6,10,3,41,16,3.5,-0.4874,29.1337,0
2010,6,16,21,51,7,4,-1.6128,34.6353,29.25
2010,6,19,2,59,27,3.1,-24.915,27.26,2
2010,6,25,13,17,33,3.7,-2.7851,28.907,10
2010,6,29,10,8,22,3.8,-7.2729,30.2782,10
2010,8,3,19,42,13,5.3,-9.5424,39.0406,33.25
2010,8,10,3,56,22,3.6,-3.813,35.0437,22
2010,8,16,21,59,26,3.4,-11.9389,33.9541,10
2010,8,22,3,37,50,4.2,-4.5302,35.8478,10
2010,8,31,6,19,45,3.7,-16.8006,28.974,14
2010,9,5,2,7,58,4.4,-10.0894,33.8956,10
2010,9,15,11,18,33,3.8,-7.8862,30.6641,10
2010,9,15,23,37,52,3.5,-21.657,26.539,5
2010,9,17,21,51,6,3.7,-9.8888,33.7468,10
2010,9,25,22,59,0,4,-4.4507,35.8447,10
2010,10,2,18,32,10,3.8,-18.054,26.603,0.1
2010,10,17,6,48,33,3.2,-24.965,27.212,2
2010,10,28,9,31,14,4,-14.7267,23.3367,10
2010,10,29,22,55,48,4,-9.5259,33.8464,19
2010,11,4,1,58,32,3.9,-5.1624,35.0664,10
2010,11,8,14,15,58,3.4,-23.877,24.661,10
2010,11,19,9,22,44,3.1,-24.463,26.954,10
2010,11,20,0,11,41,3.6,-12.4291,24.7526,10
2010,11,26,18,24,20,3.9,-17.7419,27.1021,10
2010,11,28,21,44,45,3.4,-10.2796,34.0197,10
2010,12,26,20,32,27,3.9,-9.7961,25.2025,50
2011,1,10,11,43,1,3.1,-23.676,33.141,5
2011,1,19,8,13,16,3.7,-5.4359,36.1501,0
2011,2,7,4,29,20,3.7,-9.981,33.2578,10
2011,2,21,23,59,18,4.3,-4.643,35.6517,10
2011,3,8,20,31,38,4,-11.3569,34.4959,10
2011,3,19,19,44,10,4,-7.7016,30.5262,37.25
2011,3,22,2,14,58,3.5,-9.0267,29.4413,10
2011,4,15,8,49,33,4,-4.2659,35.7142,10.25
2011,4,19,17,12,20,3.8,-5.4993,35.6662,10
2011,4,21,12,43,35,4.2,-21.5822,32.9815,15
2011,4,26,18,50,53,3.5,-11.0498,32.9104,10
2011,5,1,5,48,40,3.1,-21.486,33.119,10
2011,5,2,12,5,13,3.9,-21.3266,32.8609,14
2011,5,21,15,58,54,3.8,-10.2287,32.5651,10
2011,5,29,3,8,40,4,-2.406,39.5059,10
2011,6,10,8,28,14,4,-7.005,39.585,15
2011,6,24,15,54,31,3.6,-8.2602,32.3018,0
2011,7,1,21,13,49,4.1,-9.6087,29.0229,10
2011,7,6,10,37,45,4.6,-21.2826,33.0344,15
2011,7,12,22,18,44,3.1,-21.419,33.456,5
2011,7,21,13,55,53,5,-15.9642,25.9932,30.75
2011,7,21,17,43,18,4,-18.9064,36.0306,10
2011,7,27,21,12,0,4.4,-21.765,33.2507,10
2011,8,15,20,4,1,4,-5.5641,35.5494,10
2011,9,20,2,21,47,4,-4.285,34.3218,22.75
2011,9,25,5,11,44,3.8,-9.4787,33.9822,13.75
2011,9,25,5,50,9,3.8,-9.3827,33.8277,13
2011,10,13,2,10,24,3.8,-17.7657,27.1523,10
2011,10,15,21,59,54,4.2,-8.4589,26.4164,17.5
2011,10,30,1,12,31,4.2,-21.5564,33.3943,13
2011,11,5,15,28,18,3.7,-1.5968,29.129,0
2011,11,6,16,15,35,3.3,-18.559,27.331,5
2011,11,22,5,41,25,4.1,-21.5318,32.8746,13
2011,11,24,11,39,55,3.9,-21.566,34.265,5
2011,12,4,5,7,5,4.3,-8.6512,30.1604,50.75
2012,1,1,20,8,58,3.9,-2.7132,35.9359,10
2012,1,10,11,1,23,4,-21.4694,32.9928,9.75
2012,1,14,11,24,59,3.9,-8.5519,33.0425,15.25
2012,1,15,11,8,33,4.1,-7.4288,37.4282,5.25
2012,1,20,9,25,31,3.4,-9.7084,34.7369,10
2012,1,29,1,55,26,4.2,-7.2248,30.2737,17.75
2012,2,3,4,49,12,4.2,-17.1014,27.7897,9
2012,3,15,2,0,50,4.3,-19.6293,32.2807,10
2012,3,31,6,12,6,4.7,-8.4597,30.3384,10
2012,4,4,3,33,6,3.7,-22.066,33.424,5
2012,4,17,2,1,20,4.3,-2.0556,37.5447,28.5
2012,5,11,0,46,29,3,-23.0258,27.4168,10
2012,5,12,8,26,4,4.2,-4.3656,29.0042,10
